text,label
"Notwithstanding the provisions of this subsection (d), no Remarketing Agent shall be required to contribute any amount in excess of the amount by which the total price at which the applicable Securities remarketed by it and distributed to the public were offered to the public exceeds the amount of any damages which such Remarketing Agent has otherwise been required to pay by reason of such untrue or alleged untrue statement or omission or alleged omission.",Cap On Liability
"THIS STRATEGIC ALLIANCE AGREEMENT (the ""Agreement""), made effective this 17t h day of February 2016, through February 16, 2019 (the ""Initial Term"") i",Expiration Date
Any disputes or claims arising under this Agreement shall be governed by the laws of the State of Texas.,Governing Law
"Without prejudice to the provisions expressly stated elsewhere in this Agreement, a Party's liability for damage suffered by the other Party, attributable to the first mentioned Party or a person for whom it is liable by law, shall be limited to the following events, and the following amounts:     a)   for direct damage to physical goods (property damage or ""zaakschade"") or directly resulting from death or personal injury: up to a maximum of *** per event or series of connected events and up to a further maximum of *** for all events (connected or not) in any period of 12 calendar months;           b)   for damage directly resulting from a material breach of this Agreement: up to a maximum *** or *** as set out in Appendix 2), whatever amount is the highest, in any period of 12 calendar months.",Cap On Liability
"EXCEPT AS SET FORTH IN SECTION 6.3, IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER FOR ANY SPECIAL, INCIDENTAL, CONSEQUENTIAL OR PUNITIVE DAMAGES ARISING OUT OF THIS AGREEMENT OR ITS TERMINATION, WHETHER LIABILITY IS ASSERTED IN CONTRACT, TORT (INCLUDING NEGLIGENCE) STRICT LIABILITY OR OTHERWISE AND IRRESPECTIVE OF WHETHER SUCH PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF ANY SUCH LOSS OR DAMAGE.",Cap On Liability
"No more than once per year during the Term, Sonos shall have the right, [*], to examine and audit IAC's books and records related to Sonos [*]. I",Audit Rights
"Roche shall be entitled, upon reasonable notice and during FMI's regular business hours, to visit FMI's facility (and those facilities of its subcontractors), including FMI's CLIA-compliant",Audit Rights
"The quantity of Products, sample Products or Trainers (as the case may be) ordered by AMAG from Antares in each shipment (as set forth in a Purchase Order) must be equal to or greater than [***] units for each type of Product, sample Product and Trainers ordered. Such minimum order quantity may be updated from time to time by a mutual written agreement of the Parties.",Minimum Commitment
"HPS MEZZANINE PARTNERS II, LLC",Parties
"Each Party agrees to obtain and maintain, during the Term and for five (5) years after the Term, commercial general liability insurance, including products liability insurance, with minimum ""A-"" AM Best rated insurance carriers, in each case with limits of not less than five million dollars ($5,000,000) per occurrence and in the aggregate",Insurance
ordering of such Miltenyi Products) regarding production planning of Bellicum Product.,Minimum Commitment
2.      Corio Customer Application Management Revenue:         Corio to pay Commerce One [*] of all Application Management Revenue from         Corio Customers for use of Commerce One Software or MarketSite.net         Service Access subject to the following limitations.,NONE
"""Background"": All knowledge, information and intangible assets protected under national Law System and international intellectual and industrial property laws and regulations, created or otherwise obtained by a Party prior to the begin of the activity covered by this Agreement.",License Grant
No Party may assign this Agreement without the prior written consent of the other Party.,Anti-Assignment
"Beijing Yisheng Leju Information Services Co., Ltd",Parties
7.3   [CERES/IGER] declines any liability for any damage which may be caused by the CERES/IGER Plant Material or the Program activities  or Results to [Party] or any third party.,NONE
Greater Delaware Valley Savings Bank d/b/a Alliance Bank,Parties
Term: twelve (12) months from the date of the Agreement which term shall automatically renew for an additional twelve (12) months on such date if the Agreement is not otherwise terminated according to Section 8 of the Agreement.,Expiration Date
"Such analysis will include, among other considerations, product risk characteristics, product litigation history,",Insurance
Chang Chen- Bin Architects Office,Parties
"Upon termination of the Agreement or the Work Stream requiring the use of the Samples, or upon completion of those activities requiring use of the Samples, FMI shall promptly return to Roche unused or remaining Samples, or, at FMI's option, securely dispose of all unused or remaining Samples and provide Roche with a written notice of such disposal.",Post-Termination Services
"1.06     RESTRICTED  MERCHANTS  AND MERCHANT ACTIVITIES.  Affiliate shall market only  to  bona  fide  and  lawful retail, MO/TO, and Internet businesses, all in accordance  with  Merchant Program Standards established by Network 1. Affiliate shall  not  engage in factoring or laundering or promote the same.  Factoring or laundering,  for  purpose  of  this Agreement, means the processing or attempted processing  of  Merchant Transactions through a Merchant Account other than that which  is  the  Merchant  Account  of  the  Merchant processing or attempting to process  the  Merchant Transaction. At the Affiliate request, a boarded Merchant may  be  terminated  from  services  so  long  as  good  reason  exists.",NONE
"Each Party to this Agreement, at its own expense, shall have the right to inspect from time to time the operation and maintenance of any portion of the APCN 2 and to obtain copies of the maintenance records.",Audit Rights
Brokers National Life Assurance Company,Parties
"(7) If the default traffic is more than ***, the share of revenues for the non-default traffic is ***%, and the share of revenuesfor the default traffic is ***%;

  (8) If the default traffic is more than ***, the share of revenues for the non-default traffic is ***%, and the share of revenuesfor the default traffic is ***%; and

  (9) If the default traffic is more than ***, the share of revenues for the non-default traffic is ***%, and the share of revenuesfor the default traffic is ***%.",Revenue/Profit Sharing
"On termination of the provision of the Services by                     HealthGate to the Publishers for whatever reason, HealthGate                     shall at the Publishers' option:

                          (i) grant to the Publishers a non-exclusive                     non-transferable licence to use the Proprietary Software for                     the purposes of using, developing, enhancing and maintaining                     the Site and carrying out any or all of the activities                     previously carried out by HealthGate or on its behalf under                     this Agreement

                          (ii) exercise best endeavours to grant to the                     Publishers a non-exclusive non-transferable licence to use                     the Third Party Software for the Site when and to the extent                     requested by the Publishers.",License Grant
"Each Party shall provide the other Party with evidence of such insurance upon request and, in the case of RevMed, shall provide Sanofi with written notice at least [***] prior to the cancellation, non-renewal or material changes in such insurance.",Insurance
"By: /s/ Thomas Sipp Thomas Sipp Chief Financial Officer SCULPTOR MANAGEMENT, INC.",NONE
"Zogenix and Distributor may be referred to individually as a ""Party"" and collectively as the ""Parties"".",Parties
Forty Niners SC Stadium Company LLC,Parties
"Umbrella/Excess Liability with limits of not less than $5,000,000 in excess of all the above-referenced Commercial General Liability, Employer's Liability and Business Auto Liability, except the following Subcontractor classifications will have limits of not less than the following: HVAC $2,000,000, Landscaping and Fencing $1,000,000. Such Umbrella/Excess Liability policies shall follow form to the terms and conditions of the underlying coverages and shall include a drop down feature in the event any underlying limits are exhausted.",Insurance
"LeadersOnline shall pay VerticalNet *** percent (***%) of LeadersOnline- VerticalNet Revenue, payable to VerticalNet  on or before the fifteenth day of  the calendar month immediately following the month in which",Revenue/Profit Sharing
"To the extent           that Excite@Home elects in its sole discretion to purchase in excess           of $***** in e-centive packages during any quarter, any such excess           purchases shall constitute a credit which Excite@Home may apply           against its minimum purchase obligations in any subsequent quarter(s).",Minimum Commitment
"Client and its nominees, employees, agents and representatives shall have the right to enter  upon and inspect, at all reasonable hours of the day, any and all such location(s) and to take, without payment, individual  samples of any of the EFS Produced Merchandise and the Materials as Client reasonably requires for the purposes of such  inspection.",Audit Rights
"Seller and Buyer are referred to individually at times as a ""Party"" and collectively at times as the ""Parties"".",Parties
"Subject to Section 2(e), the grant set out in Clause 2(b)(i) is exclusive such that Ehave shall not license any other Person to, nor may Ehave itself, license, sub-license the use of, or provide services similar to, the Ehave Companion Solution within the Field of Use anywhere in the Territory.",Exclusivity
"The Provider will obtain and maintain appropriate liability insurance in an amount of not less than $1,000,000 combined single limit for accidents or occurrences which cause bodily injury, death or property damage related to the performance of the Services. The insurance policy willname the Company as an additional insured.",Insurance
"Except with respect to any claim or liability arising from an infringement of any third party intellectual property right, in no event shall either party be liable for any special, indirect, consequential, punitive or incidental damages of any kind",Cap On Liability
"Subject to Pfizer's compliance with Sections 3.4(a)(i) and 3.4(a)(ii), (A) Exact shall pay Pfizer the amount, if any, by which the aggregate amount of the Promotion Fee incurred by Exact to Pfizer during the remainder of 2018 Calendar Year and 2019 Calendar Year (the ""First Promotion Fee Period"") is less than $37.5 million (the ""First Supplemental Promotion Fee""), and (B) Exact shall pay Pfizer the amount, if any, by which the aggregate Promotion Fee incurred by Exact to Pfizer during each of Calendar Year 2020 and 2021 is less than $30 million (""Annual Supplemental Promotion Fee""), in each case to compensate Pfizer for the sales, Marketing and other performance provided by Pfizer under this Agreement.",Revenue/Profit Sharing
"Unless otherwise addressed in an Intellectual Property Amendment, VS hereby assigns to PPD (or Sponsor as the case may be) all rights that VS may have in any invention, technology, know-how or other intellectual property which is developed with use of Confidential Information provided to VS by PPD.",Ip Ownership Assignment
"Within twenty (20) days after the end of each Calendar Quarter , GSK shall pay Theravance royalty payments based on Net Sales in such Calendar Quarter during the Term as follows:        On total Annual Worldwide Net Sales up to and including U.S. $3 Billion:

  15   %                   On total Annual Worldwide Net Sales greater than U.S. $3 Billion:

  5   %     it being understood that Net Sales of a single agent Collaboration Product will be combined with Net Sales of a LABA/ICS Combination Product for purposes of the foregoing royalty calculation.",Revenue/Profit Sharing
"If Customer disagrees with any such changes, Customer may in its sole discretion terminate this Agreement (or some or all of the affected Service Option Attachments) without the payment of termination charges upon notice to IBM at least thirty (30) days prior to the effective date of the applicable change.",Termination For Convenience
"5.7. Power2Ship must provide a separate weekly report to WLI that lists the serial number of any Units reactivated (i.e., after having previously been suspended) during the prior week.",NONE
"Integrity Funds Distributor, LLC",Parties
"Except as expressly set forth in this Agreement, neither this Agreement nor any of the rights, interests or obligations under this Agreement, including the licenses granted pursuant to this Agreement, shall be assigned, in whole or in part, by operation of Law or otherwise by either Party without the prior written consent of the other Party.",Anti-Assignment
6.    McDATA OBLIGATIONS/RESPONSIBILITIES,NONE
"If the Sponsor decides not to be the category sponsor of the 2016 Event or fails to timely respond to the Notice, then ANTHEMIC may approach other parties to be the category sponsor.",Rofr/Rofo/Rofn
"The Company agrees to provide and maintain, at its own expense, advertising and product liability insurance each with limits no less than $5,000,000 and within thirty (30) days from the date hereof, the Company will submit to Nantz Communications a fully paid policy or certificate of insurance naming Nantz Communications and Nantz as insured parties, requiring that the insurer shall not terminate or materially modify such without written notice to Nantz Communications at least twenty (20) days in advance thereof.",Insurance
Telstra Global Networks Limited,Parties
Either Consultant or Company may terminate this Agreement upon prior written notice thereof to the other party.,Termination For Convenience
Limitation of Liability of the Sponsor.,Cap On Liability
"(10) provide proof, in a format satisfactory to us, that you have obtained all required insurance policies, and have name us, as an additional insurance under all such policies;",Insurance
"The term of the Franchise shall be twenty (20) years, commencing on January 1, 2016.",Expiration Date
"Zynga will pay to WPT ten percent (10%) of the cumulative Net Revenue (as defined in Section 3.b. of the Additional Provisions) (""Royalty"") from the WPT-branded Zynga Poker Tournament Mode or other such use of the WPT brand on the Zynga platform.",Revenue/Profit Sharing
"Source: ETON PHARMACEUTICALS, INC., 10-Q, 11/14/2019",NONE
"THE PROVISIONS OF SECTION 10.1 (""E.PIPHANY INTELLECTUAL PROPERTY INDEMNITY"") STATE THE ENTIRE LIABILITY AND OBLIGATION OF E.PIPHANY, AND THE EXCLUSIVE REMEDY OF HSNS, WITH RESPECT TO ANY ACTUAL OR ALLEGED INFRINGEMENT OF ANY PATENT, COPYRIGHT, TRADE SECRET, TRADEMARK OR OTHER INTELLECTUAL PROPERTY RIGHT BY THE APPLICATION OR ANY PART THEREOF. THIS LIMITATION OF LIABILITY APPLIES NOTWITHSTANDING ANY FAILURE OF THE ESSENTIAL PURPOSE OF THE EXCLUSIVE REMEDIES.",Cap On Liability
"14 Appendix 1 SLINGER BAG INC. EXERCISE NOTICE Reference is made to the Warrant Agreement dated 30 April 2020 between Slinger Bag Inc. (the ""Company"") and Aitan Zacharin (the ""Warrant Agreement""). In accordance with and pursuant to the Warrant Agreement, the undersigned hereby elects to exercise the Warrant to purchase shares of common stock of the Company as set forth below. Capitalized terms used but not defined herein have the meanings assigned to such terms in the Warrant Agreement. Date of Exercise: __________________________________________________ Number of shares of ordinary/common (or its equivalent) stock to be purchased:________________________________ Please issue shares of common stock in the following name and to the following address: Issue to: _________________________________________ Address: _________________________________________ Telephone Number: ________________________________ Email address: _________________________________ Holder: __________________________________________ By: Title:",NONE
"Upon termination or expiration of this Agreement, this Agreement and all rights granted hereunder to You shall immediately terminate, and:",Post-Termination Services
"1.23 ""Good Clinical Practice or ""GCP"" means the current standards for clinical studies for pharmaceuticals, as set forth in the ICH guidelines and applicable regulations promulgated thereunder, as amended from time to time.",NONE
"This Agreement shall commence on September 10, 2015 and shall continue for One (1) Year (the ""Term"").",Expiration Date
Any assignment of the rights and obligations under this Agreement by Company without the consent of BP shall be voidable by BP.,Anti-Assignment
"EXHIBIT ""A"" USPTO REGISTRATION NO. 5,283,875 See Attached.",NONE
"Section 2.4 No Commitment. Notwithstanding anything to the contrary, the Parties understand and agree that each Party shall have the right, at all times and in their sole and absolute discretion, to pursue or not pursue or continue with or not continue with a Project and that neither Party shall have any obligation or liability to the other Party arising out of or relating to a decision not to pursue a Project for any reason. Each Party agrees that it shall not pursue any damages against the other Party or any of its Affiliates arising out of or relating to a decision by such Party or any of its Affiliates not to pursue or continue with a Project, regardless of' the reason for such decision.",NONE
Distributor agrees that during the term of this agreement it meet the minimum performance goals set forth in Exhibit C to this agreement.,Minimum Commitment
"The term of this Agreement shall be five (5) years following the Effective Date or until the Studies are completed, whichever is later,  unless extended or unless terminated earlier in accordance with the provisions hereof.",Expiration Date
"With the exception of wilful misconduct by a Party, and such cases where a limitation of liability and/or indemnification is not possible under applicable law, for which cases there shall be no limitation, any and all liability and/or indemnification obligations of each of BII and XENCOR under this Agreement shall be:   a. excluded for incidental, indirect, consequential, punitive or special damages (provided that the foregoing shall not exclude a Party's right to consequential or incidental",Cap On Liability
"This Agreement expires ten (10) years from the Agreement Date (the ""Term""), unless it is terminated sooner as provided in other sections of this Agreement.",Expiration Date
"The term of this Agreement shall be for a period of two (2) years (the ""Term"").",Expiration Date
"In full consideration of the provision of the services of the Blockchain Administrator set forth herein, the Fund shall pay the Blockchain Administrator a fees calculated at the annual rate of 0.20% of the value of the Fund's average annual net assets.",Revenue/Profit Sharing
"Yorkville Advisors Global II, LLC",Parties
"Supplier shall endorse such policy to include a ""Client Coverage"" or ""Joint Payee Coverage"" endorsement Bank of America shall be named as ""Loss Payee, As Their Interest May Appear'' in such Fidelity Bond.",Insurance
"(ii) this Agreement has been duly executed and delivered by it and constitutes, or will constitute, a valid and binding agreement of it enforceable in accordance with the terms thereof.",NONE
"facilities, to audit for quality assurance purposes its facilities, documentation and procedures used in conducting its activities pursuant to this Agreement.",Audit Rights
"Entire Agreement. This Agreement, including any exhibits and attachments, constitutes the entire agreement between the Parties pertaining to the subject matter hereof, supersedes all prior agreements, understandings, negotiations and discussions, whether oral or written, of the Parties with respect thereto, and may not be amended or modified except by a written instrument signed by both Parties expressly identifying it as an amendment or modification hereof.",NONE
"If Adaptimmune Limited fails to timely exercise its option within the Option Period with respect to any Invention, Adaptimmune Limited's right to negotiate a license agreement with respect to such Invention will automatically terminate, and MD Anderson will be free to negotiate and enter into a license with any other party.",Rofr/Rofo/Rofn
"Upon reasonable request not more than once during any calendar year, and with reasonable notice, the Servicer will give the Issuer, the Depositor, the Parent Support Provider, the Administrator, the Owner Trustee and the Indenture Trustee (or their representatives) access to the records and documents to conduct a review of the Servicer's performance under this Agreement.",Audit Rights
"Amazon.com Commerce Services, Inc.",Parties
"This Agreement shall commence on the Effective Date and, unless earlier terminated, shall continue in full force and effect for a period of [***] years thereafter.",Expiration Date
"The validity, construction and performance of this Agreement shall be governed by the laws of the State of Texas, not including any of its conflicts of law rules that would direct or refer to the laws of another jurisdiction.",Governing Law
"In states where Workers' Compensation insurance is a monopolistic state-run system, Vendor shall add Stop Gap Employers Liability with limits not less than $500,000 each accident or disease.",Insurance
"NEITHER PARTY SHALL BE LIABLE TO OTHER PARTY FOR ANY LOST PROFITS, LOST REVENUES, OR ANY OTHER INCIDENTAL, INDIRECT, PUNITIVE, SPECIAL OR CONSEQUENTIAL DAMAGES WHATSOEVER ARISING OUT OF THIS AGREEMENT OR ANY ORDER, OR OUT OF THE PERFORMANCE OR BREACH OF THIS AGREEMENT OR ANY ORDER, EVEN IF THE PARTY HAS BEEN ADVISED OF THE POSSIBILITY OF SUCH DAMAGES.",Cap On Liability
In no event will the aggregate liability incurred by Lucid in any action or  proceeding exceed the total amount actually paid to Lucid by Distributor for the purchase of the products that actually caused the damage or loss.,Cap On Liability
ISO may terminate this Agreement prior to its expiration for cause upon prior written notice to SERVICERS as follows:,Anti-Assignment
"Neither party shall be liable to the other party for any direct, indirect, consequential, incidental, special, punitive or exemplary damages arising out of or relating to the suspension or termination of any of its obligations or duties under this Agreement by reason of the occurrence of Force Majeure.",Cap On Liability
The rights set forth in this Section 17.4(b) may not be exercised by an auditing Party more frequently than one (1) time in any twelve (12)-month period.,Audit Rights
"13.11Waiver. A delay or failure by any party to exercise a right under this Agreement, or a partial or single exercise of that right,  shall not constitute a waiver of that or any other right.",NONE
"Operator shall maintain Commercial General Liability Insurance covering its operations under this Agreement including, without limitation, bodily injury, death, property damage, premises/operations, sudden and accidental pollution, independent contractors, products/completed operations, contractual, and personal injury liability, with a limit of not less than one million dollars ($1,000,000) per occurrence and two million dollars ($2,000,000) in the annual aggregate.",Insurance
"If the parties have not reached agreement in writing regarding the terms and conditions for the exploitation of the Opportunity within said time period, or if Licensee fails to submit a bid in a timely manner, Fox shall be free to accept any bid from any other party with respect to the Opportunity, or Fox shall be free not to exploit the Opportunity at all.",Rofr/Rofo/Rofn
"Nexstar shall maintain replacement cost casualty and liability insurance and property insurance on all of its assets and properties used and useful in the operation of WMBD-TV, general liability insurance, workers compensation insurance, and broadcast liability insurance, all in such amounts and on such terms and conditions that are ordinary and customary in the broadcast industry and that are reasonably acceptable to WYZZ.",Insurance
"Aimmune hereby covenants and agrees that it shall not (and shall cause the other Aimmune Agreement Entities not to), either directly or indirectly,",License Grant
"""MOQ"" means the minimum order quantity of Product units during the Initial Term, as set forth in Schedule 1.",Minimum Commitment
"If government regulations prevent LeadersOnline from sharing any revenues associated with LeadersOnline Services, VerticalNet and LeadersOnline shall negotiate in good faith a compensation structure that seeks to provide VerticalNet with compensation equal to that set forth in Sections 6.3.1  [Revenue Sharing].",Revenue/Profit Sharing
"This Agreement is binding upon and shall inure to the benefit of JHU, its successors and assignees and shall not be assignable to another party, except that the Company shall have the right to assign this Agreement to another party in the case of the sale or transfer by the Company of all, or substantially all, of its assets relating to the LICENSED PRODUCT(S), LICENSED SERVICE(S) or PATENT RIGHT(S), to that party.",Anti-Assignment
"The Venture may acquire insurance on behalf of any Member, employee, agent or other person engaged in the business interest of the Venture against any liability asserted against them or incurred by them while acting in good faith on behalf of the Venture.",Insurance
"1.    A list of issues that are ready or awaiting publication would be             available. When an issue is selected, the listing of properties for             that issue will be presented.",NONE
"Upon the written request of a Party (""Requesting Party"") with reasonable advance notice and not more than once in each Calendar Year, the other Party shall permit an independent certified public accounting firm of nationally recognized standing selected by Requesting Party and reasonably acceptable to the other Party, at its own expense, to have access during normal business hours to such of the records as may be reasonably necessary to verify the accuracy of the reports under Section 8 for any Calendar Year ending not more than thirty-six (36) months prior to the date of such request.",Audit Rights
"Sutro shall allocate its available Components and manufacturing capacity to provide SutroVax with quantities of such Product at least equal to the greater of (a) [***] of the amount of Product (or products equivalent to Product) that Sutro allocates for itself and its Affiliates (but in no event less than [***] liters of Extract per month and the minimum allocation volume set out in Schedule 1 of each Custom Reagent per month), provided that SutroVax demonstrates actual need for the applicable quantities of Extract, and (b) the [***].",Minimum Commitment
"Tripath and Distributor intend to establish Distributor as a non-exclusive Distributor for Tripath products in the following designated Territory, subject to the terms and conditions of this Agreement.",NONE
"Each party (the ""Granting Party"") hereby grants the          ------------------                   -------------- other party (the ""Using Party"") a limited license to use its Brand Features in                   ----------- connection with the marketing, distribution, provision of access to, and support of the Service.",License Grant
"During the term of this Agreement, Ono shall pay to Array, on a quarterly basis, a royalty on the Net Sales of Products by Ono, its Affiliates or Sublicensees.",Revenue/Profit Sharing
This right to audit shall extend throughout the term of this Agreement and for one year after expiration or termination of this Agreement.,Audit Rights
"(""Zynga Ireland,"" and together with Zynga US and their respective Affiliates, ""Zynga"").",Parties
"During the Term and subject to the limitations set forth in Paragraphs 9 and 10, HDS shall have the right to use  the name, image, likeness, characterization, visual and audio representation of Celebrity (""Celebrity Attributes"") in  connection with HDS' product, Clotamin, in the Territory as follows:    A. In a television commercial (specific spot length to be mutually agreed upon) promoting Clotamin  (""Commercial"") aired specifically in the following three (3) television markets: (1) Washington, DC Metro  Area; (2) Florida; and (3) Texas (collectively ""Markets"");    B. On HDS' website (www.clotamin.corn) (""Website""); and    C. In Clotamin-related press releases.",License Grant
"In the event of termination or expiration of this Agreement             pursuant to Section 5.0 above, IBM shall have an option, which             shall expire [*] days after such termination or expiration, to             purchase from MSL, at a reasonable price agreeable to the Parties,             all assets used by MSL to perform the manufacturing and fulfillment             functions",Post-Termination Services
"Upon termination of this Agreement for reasons other than a           relationship with an Excite@Home Named Competitor under Section           16.a.v., the parties will communicate with Program Members as follows:

       i)   Excite@Home will email Program Members on e-centives' behalf up                to a maximum of two times. Consistent with other communications                envisioned during the Term of the Agreement, such mailings will                be branded Excite@Home but will alert Program Members that this                Agreement is to be terminated, the Co-Branded Application will",Post-Termination Services
"CONSULTANT acknowledges that CONSULTANT's rights in all discoveries, concepts, ideas, inventions, innovations, improvements, developments, methods, designs, analyses, drawings, reports, patent applications, copyrightable work and mask work (whether or not including any Proprietary Information) and all registrations or applications related thereto, all other proprietary information and all similar or related information (whether or not patentable) which relate to the Company's actual or anticipated business, research and development or existing or future products or services and which were or are conceived, developed, contributed to or made or reduced to practice by CONSULTANT (whether alone or jointly with others) while under contract with the Company, whether before or after the date of this Agreement (""Work Product""), belong to the Company.",Ip Ownership Assignment
"Datec must not assign this agreement or any right under this agreement unless Datec

  (a) is not in breach of this agreement;

  (b) obtains the prior written consent of the BSP

  (c) ensures that the assignee agrees to be bound by all of the Datec's obligations under this agreement; and

  (d) acknowledges that it remains bound by this agreement",Anti-Assignment
"In addition, no Technology Access Fee shall be due or payable in connection with XENCOR's election to use or have used (e.g. by a Business Partner) the Process if (i) BII does not exercise its first right to negotiate under either Section 5.2.2.a or 5.2.2.b, (ii) BII exercises its first right to negotiate but demands a supply price for clinical/commercial supply of Product that exceeds the bid price for the clinical/ commercial supply of Product of a comparable quantity and quality by a third party biopharmaceutical CMO of comparable size and respective activities to BII and with registered headquarters in the Major Territories, or (iii) XENCOR (or its Business Partner) has entered into a contract manufacturing agreement with BII, but BII is not able to supply XENCOR and its Business Partners [...***...] of the Product required.",Rofr/Rofo/Rofn
"In addition, EFS may not assign this Agreement without Client's consent to a competitor  of Client or any of Client's businesses.",Anti-Assignment
MSL agrees to provide the audit or inspection team reasonable access     to the relevant MSL's and/or MSL's Subsidiaries' records and facilities for     the purpose of performing the audit.,Audit Rights
"OntoChem hereby grants to Anixa a non-exclusive, fully paid-up, royalty-free, perpetual, irrevocable, transferable, worldwide license (with the right to grant and authorize sublicenses through multiple tiers) under any patents which OntoChem or any of its Affiliates own or control during the term of this Agreement, to make, have made, use, sell, offer for sale and import the Lead Scaffold(s) and products that incorporate compounds from the Lead Scaffold(s).",License Grant
"In the event this Agreement is terminated pursuant to the provisions of         paragraph 19.2, then the Party whose control has changed shall not         enter into an agreement with any other Party to provide services similar         to those provided herein or to provide its services similar to those         provided for herein without an agreement, for a period of twelve (12)         months from the effective date of termination.",Post-Termination Services
"Regardless of Excite's actual             delivery of impressions and clickthroughs, the term of this             Agreement will not be shorter than two (2) years after the display             of the first of Client's advertising banners and promotional             placements, subject to the termination rights set forth below.",Expiration Date
"This Agreement shall be governed by and construed in accordance with the substantive laws of the Netherlands, excluding its rules of conflicts of law and the United Nations Convention on Contracts for the International Sale of Goods dated 11 April 1980 (CISG), as amended from time to time.",Governing Law
Greater Delaware Valley Holdings,Parties
Neither Party may assign this Agreement or otherwise transfer in any way any of the rights and obligations arising out of this Agreement without the prior written consent of the other Party.,Anti-Assignment
"In the event that MSL owns the tooling and has received a bona fide             third party offer to purchase any or all of the tooling, before MSL             may accept such offer, MSL shall notify IBM in writing, and IBM             shall have [*] Days after such notice to agree to purchase such             tooling on the same terms and conditions as such third party offer.",Rofr/Rofo/Rofn
"Such examinations may not (a) be conducted more than once in any [***] month period (unless a previous audit during such [***] month period revealed an overpayment (or an underpayment of a Milestone Payment, FOU License Fees, or royalty for Licensed Products) of at least [***] percent ([***]%) of the amount actually due with respect to such period) or (b) [***].",Audit Rights
"""Supplier"" and, collectively with Customer, the ""Parties"", and each, a ""Party",Parties
DISTRIBUTOR agrees to satisfy the annual and quarterly sale targets for          the Products set forth in Appendix 3 herein as mutually agreed to by          the parties hereof.,Minimum Commitment
Leclanché shall assist Oak Ridge in preparing and submitting commercial bids.,NONE
"reputation reasonably acceptable to the Repairer, insurances in accordance with industry standards with respect to the undertakings of the Company in Clause 15 (""Liability and Indemnity"") of this Agreement including",Insurance
"During the Term of this Agreement, except as otherwise permitted by this Section 3(a)(v), VS agrees that it shall not enter into the same or substantially similar Commitments with any other company or entity which performs clinical research services the same or similar to those provided by PPD or any PPD affiliate (collectively, ""PPD Competitor""), nor shall VS provide preferred pricing to a PPD Competitor which is better than that provided by VS hereunder to PPD.",Exclusivity
